ticker,adv_21,adv_dollars,Close
QCOM,7587219.047619048,1317520541.3103375,173.64999389648438
ASML,1224600.0,1312942661.9384766,1072.1400146484375
BKNG,236904.7619047619,1285717655.4361978,5427.14990234375
CVX,8359609.523809524,1273252106.1622257,152.30999755859375
DIS,10989361.904761905,1261468863.1086805,114.79000091552734
WFC,13080147.61904762,1233588690.018427,94.30999755859375
LULU,5768895.238095238,1215333149.246361,210.6699981689453
PFE,48036033.333333336,1200420462.0054245,24.989999771118164
ABBV,5182042.857142857,1190522554.4658117,229.74000549316406
CMCSA,39654552.38095238,1188446907.6285226,29.969999313354492
INTU,1750038.0952380951,1172315527.7832031,669.8800048828125
BABA,7907204.761904762,1165205698.5404606,147.36000061035156
PEP,7951842.857142857,1146337695.4062326,144.16000366210938
TXN,6530438.095238095,1145569438.7090774,175.4199981689453
CRWD,2382204.761904762,1133048062.536621,475.6300048828125
KO,16097657.142857144,1127962831.087385,70.06999969482422
STX,3980114.285714286,1114750355.6989398,280.0799865722656
ACN,4073885.714285714,1099949142.8571427,270.0
SNPS,2285376.1904761903,1084388126.3009207,474.489990234375
IBM,3570885.714285714,1078585986.4100864,302.04998779296875
DASH,4716476.19047619,1075969736.3630023,228.1300048828125
TMUS,5134223.80952381,1046354828.04936,203.8000030517578
MCD,3375338.095238095,1039705389.3559047,308.0299987792969
SHOP,6197928.571428572,1014848858.3319528,163.74000549316406
ADI,3686547.619047619,1013137043.6677479,274.82000732421875
KLAC,811285.7142857143,1008955498.3782088,1243.6500244140625
MELI,498119.04761904763,1006638823.3846029,2020.8800048828125
APH,7381376.19047619,1005343414.6166847,136.1999969482422
PANW,5379223.80952381,1005108001.6417004,186.85000610351562
AMGN,2992014.285714286,983445182.876151,328.69000244140625
VZ,23868376.19047619,971442929.1625068,40.70000076293945
PM,5991957.142857143,970397440.9997122,161.9499969482422
ETN,2949280.9523809524,946306243.1785947,320.8599853515625
AXP,2508280.9523809524,936567061.5519205,373.3900146484375
MS,5221185.714285715,935009947.2745624,179.0800018310547
RIVN,46926942.85714286,919298817.7319118,19.59000015258789
BSX,9526823.80952381,914670374.3038722,96.01000213623047
NEM,8907285.714285715,907296128.2937187,101.86000061035156
SCHW,8992328.57142857,904178665.2995517,100.55000305175781
BMY,16640123.80952381,902061096.4797974,54.209999084472656
PYPL,15232480.952380951,900239601.0427929,59.099998474121094
TMO,1532633.3333333333,894214937.0422363,583.4500122070312
QBTS,33456638.095238097,878236750.0,26.25
PDD,7648871.428571428,870671048.7197876,113.83000183105469
T,34537047.61904762,856864132.983798,24.809999465942383
ISRG,1489571.4285714286,852973294.4161552,572.6300048828125
